"Number","Status","File","Bytes","Category","Technology","Source","Url"
"1","Downloaded","01-Guide-to-Purchasing-Green-Power.pdf","7431840","Legal contract procurement","Renewable energy","US EPA DOE WRI CRS NREL","https://www.epa.gov/sites/default/files/2016-01/documents/purchasing_guide_for_web.pdf"
"2","Downloaded","02-Guide-to-Purchasing-Green-Power-Chapter-6-Contracting-for-Green-Power.pdf","420937","Legal contract procurement","Renewable energy","US EPA","https://www.epa.gov/sites/default/files/2018-08/documents/guide-purchasing-green-power-6.pdf"
"3","Downloaded","03-Guide-to-Purchasing-Green-Power-Appendix-B-Commercial-Solar-Financing-Options.pdf","1747435","Legal contract procurement","Solar PV","US EPA","https://www.epa.gov/sites/default/files/2018-08/documents/guide-purchasing-green-power-appb.pdf"
"4","Failed","04-Using-Power-Purchase-Agreements-for-Solar-Deployment-at-Universities.pdf","0","Legal contract procurement","Solar PV","NREL DOE OSTI","https://www.osti.gov/servlets/purl/1326562"
"5","Failed","05-Procurement-Specifications-Templates-for-On-Site-Solar-Photovoltaic.pdf","0","Legal contract procurement","Solar PV","DOE NREL OSTI","https://www.osti.gov/servlets/purl/1342173"
"6","Downloaded","06-IREC-Model-Interconnection-Procedures-2023.pdf","952376","Legal contract procurement","Distributed energy","IREC","https://irecusa.org/wp-content/uploads/2023/08/IREC-Model-Interconnection-Procedures-2023-FINAL-8.23.23.pdf"
"7","Downloaded","07-Utility-Scale-Solar-Photovoltaic-Power-Plants-Project-Developers-Guide.pdf","16893523","Legal contract procurement","Utility-scale solar PV","World Bank IFC","https://documents1.worldbank.org/curated/en/690161467992462412/pdf/99396-WP-Box393199B-PUBLIC-IFC-Solar-Report-Web-08-05.pdf"
"8","Downloaded","08-Utility-Scale-Solar-Power-Plants-Guide-for-Developers-and-Investors.pdf","2686641","Legal contract procurement","Utility-scale solar PV","World Bank IFC","https://documents1.worldbank.org/curated/en/868031468161086726/pdf/667620WP00PUBL005B0SOLAR0GUIDE0BOOK.pdf"
"9","Failed","09-Best-Practices-for-Operation-and-Maintenance-of-Photovoltaic-and-Energy-Storage-Systems.pdf","0","Legal contract procurement","Solar PV and storage","NREL DOE OSTI","https://www.osti.gov/servlets/purl/1489002"
"10","Downloaded","10-Guide-to-Developing-Solar-Photovoltaics-on-Massachusetts-Landfills.pdf","1509870","Legal contract procurement","Solar PV brownfields","Massachusetts DOER","https://energy-ready.org/wp-content/uploads/imported-files/pvlandfillguide.pdf"
"11","Downloaded","11-Expedited-Permit-Process-for-PV-Systems.pdf","4830909","Requirements permitting compliance","Solar PV","Solar ABCs SolSmart","https://energy-ready.org/wp-content/uploads/imported-files/Expermitprocess.pdf"
"12","Downloaded","12-California-Solar-Permitting-Guidebook.pdf","5060551","Requirements permitting compliance","Solar PV","State of California SolSmart","https://energy-ready.org/wp-content/uploads/imported-files/20190226-Solar_Permitting_Guidebook_4th_Edition.pdf"
"13","Downloaded","13-Solar-Permit-Application-Template.docx","168038","Requirements permitting compliance","Solar PV","SolSmart","https://energy-ready.org/wp-content/uploads/imported-files/PI-7_SolSmart-Solar-Permit-Application-Template-2023.docx"
"14","Downloaded","14-Permitting-Checklist.docx","177783","Requirements permitting compliance","Solar PV","SolSmart","https://energy-ready.org/wp-content/uploads/imported-files/PI-1-Permitting-Checklist-2023.docx"
"15","Downloaded","15-Solar-Residential-Fees-Template-Memo.docx","78876","Requirements permitting compliance","Solar PV","SolSmart","https://energy-ready.org/wp-content/uploads/imported-files/PI-14_SolSmart-Solar-Residential-Fees-Template-Memo-2023.docx"
"16","Downloaded","16-Zoning-and-Permitting-Solar-in-Your-Municipality.pdf","4665853","Requirements permitting compliance","Solar PV","SolSmart SunShot","https://energy-ready.org/wp-content/uploads/imported-files/SunShineTeam_ZoningandPermittingSolarinYourMunicipality.pdf"
"17","Downloaded","17-Solar-Zoning-Code-Amendments-Example.pdf","180144","Requirements permitting compliance","Solar PV","SolSmart","https://energy-ready.org/wp-content/uploads/imported-files/Title-17-amendments_solar_revised4-1.pdf"
"18","Downloaded","18-Permitting-of-Wind-Energy-Facilities-Handbook.pdf","2020340","Requirements permitting compliance","Wind energy","NREL DOE OSTI","https://www.osti.gov/servlets/purl/822416"
"19","Failed","19-Land-Based-Wind-Energy-Siting-Foundational-and-Technical-Resource.pdf","0","Requirements permitting compliance","Land-based wind","DOE WINDExchange NREL OSTI","https://www.osti.gov/servlets/purl/1812706"
"20","Failed","20-Small-Wind-Electric-Systems-US-Consumers-Guide.pdf","0","Requirements permitting compliance","Small wind turbines","DOE NREL OSTI","https://www.osti.gov/servlets/purl/917208"
